Source,Type,section-nr,book-nr
,,33,2
demosthenes,individual,33,2
hypereides,individual,33,2
eupolis,individual,33,2
amphis,individual,33,2
pherekrates,individual,33,2
poet-of-Automoloi,individual,33,2
homeros,individual,33,2
,,34,2
phrynichos,individual,34,2
xenophon,individual,34,2
platon_phil,individual,34,2
homeros,individual,34,2
archilochos,individual,34,2
anaxilas,individual,34,2
aristophanes_com,individual,34,2
sophokles,individual,34,2
,,35,2
aristophanes_com,individual,35,2
hoi-nyn,group,35,2
pherekrates,individual,35,2
,,36,2
platon_phil,individual,36,2
,,37,2
prose.medicine,group,37,2
herodotos,individual,37,2
,,38,2
aratos,individual,38,2
poetry,group,38,2
lykophron,individual,38,2
,,39,2
aristophanes_com,individual,39,2
poetry.orphica,group,39,2
,,40,2
undefined,group,40,2
homeros,individual,40,2
,,41,2
platon_phil,individual,41,2
antiphon_rhet,individual,41,2
xenophon,individual,41,2
telekleides,individual,41,2
aristophanes_com,individual,41,2
poetry.comedy,group,41,2
,,42,2
hypereides,individual,42,2
aristophanes_com,individual,42,2
palaioi,group,42,2
poetry.comedy,group,42,2
,,43,2
homeros,individual,43,2
kratinos,individual,43,2
platon_phil,individual,43,2
,,44,2
,,45,2
,,46,2
,,47,2
poetry.comedy.new,group,47,2
poetry.comedy.old,group,47,2
,,48,2
attic,group,48,2
pherekrates,individual,48,2
,,49,2
xenophon,individual,49,2
kratinos,individual,49,2
,,50,2
poetry.tragedy,group,50,2
ameipsias,individual,50,2
homeros,individual,50,2
prose.medicine,group,50,2
,,51,2
xenophon,individual,51,2
herodotos,individual,51,2
euripides,individual,51,2
poetry,group,51,2
poetry.comedy.new,group,51,2
,,52,2
poetry,group,52,2
poetry.comedy,group,52,2
,,53,2
undefined,group,53,2
undefined,group,53,2
homeros,individual,53,2
poetry.tragedy,group,53,2
thoukydides,individual,53,2
,,54,2
attic,group,54,2
hippokrates,individual,54,2
undefined,group,54,2
antiphon_rhet,individual,54,2
xenophon,individual,54,2
demosthenes,individual,54,2
,,55,2
platon_phil,individual,55,2
xenophon,individual,55,2
lysias,individual,55,2
,,56,2
platon_phil,individual,56,2
poetry.comedy.old,group,56,2
phrynichos,individual,56,2
aristophanes_com,individual,56,2
xenophon,individual,56,2
